idx,filename,temperature [C],flecha [mm],global time
4,3.11172462406015_mm_109.80_grados_2_4,109.8,3.11172462406015,"2022,03,07,11:55:54"
4,3.11172462406015_mm_109.90_grados_2_4,109.9,3.11172462406015,"2022,03,07,11:56:08"
4,3.11172462406015_mm_110.10_grados_1_4,110.1,3.11172462406015,"2022,03,07,11:56:22"
4,3.11172462406015_mm_110.10_grados_1_4,110.1,3.11172462406015,"2022,03,07,11:56:36"
4,3.11172462406015_mm_110.10_grados_1_4,110.1,3.11172462406015,"2022,03,07,11:56:50"
4,3.11172462406015_mm_110.20_grados_2_4,110.2,3.11172462406015,"2022,03,07,11:57:04"
4,3.11172462406015_mm_110.20_grados_2_4,110.2,3.11172462406015,"2022,03,07,11:57:18"
4,3.11172462406015_mm_110.30_grados_2_4,110.3,3.11172462406015,"2022,03,07,11:57:32"
4,3.11172462406015_mm_110.30_grados_1_4,110.3,3.11172462406015,"2022,03,07,11:57:46"
4,3.11172462406015_mm_110.50_grados_1_4,110.5,3.11172462406015,"2022,03,07,11:58:00"
4,3.11172462406015_mm_110.50_grados_1_4,110.5,3.11172462406015,"2022,03,07,11:58:15"
4,3.11172462406015_mm_110.60_grados_2_4,110.6,3.11172462406015,"2022,03,07,11:58:29"
4,3.11172462406015_mm_110.60_grados_2_4,110.6,3.11172462406015,"2022,03,07,11:58:43"
4,3.11172462406015_mm_110.70_grados_2_4,110.7,3.11172462406015,"2022,03,07,11:58:57"
4,3.11172462406015_mm_110.80_grados_1_4,110.8,3.11172462406015,"2022,03,07,11:59:11"
4,3.11172462406015_mm_110.80_grados_1_4,110.8,3.11172462406015,"2022,03,07,11:59:25"
4,3.11172462406015_mm_111.00_grados_1_4,111.0,3.11172462406015,"2022,03,07,11:59:39"
4,3.11172462406015_mm_111.00_grados_2_4,111.0,3.11172462406015,"2022,03,07,11:59:53"
4,3.11172462406015_mm_111.00_grados_2_4,111.0,3.11172462406015,"2022,03,07,12:00:07"
4,3.11172462406015_mm_111.20_grados_2_4,111.2,3.11172462406015,"2022,03,07,12:00:21"
4,3.11172462406015_mm_111.20_grados_no_measure_4,111.2,3.11172462406015,"2022,03,07,12:00:35"
4,3.11172462406015_mm_111.30_grados_no_measure_4,111.3,3.11172462406015,"2022,03,07,12:00:49"
4,3.11172462406015_mm_111.40_grados_no_measure_4,111.4,3.11172462406015,"2022,03,07,12:01:03"
5,3.11172462406015_mm_115.10_grados_1_5,115.1,3.11172462406015,"2022,03,07,12:03:27"
